word,category,guesses_used,guesses_allowed,won,wrong_letters
sari,foreign word,10,0,False,w
sari,foreign word,10,0,False,y
sari,foreign word,10,0,False,o
sari,foreign word,10,0,False,g
sari,foreign word,10,0,False,u
sari,foreign word,10,0,False,e
sari,foreign word,10,0,False,b
sari,foreign word,10,0,False,p
sari,foreign word,10,0,False,s
sari,foreign word,10,0,False,r
sari,foreign word,10,0,False,i
sari,foreign word,10,0,False,t
sari,foreign word,10,0,False,c
pudding,,7,3,True,a
pudding,,7,3,True,e
pudding,,7,3,True,i
pudding,,7,3,True,o
pudding,,7,3,True,u
pudding,,7,3,True,y
pudding,,7,3,True,t
pudding,,7,3,True,s
pudding,,7,3,True,p
pudding,,7,3,True,r
pudding,,7,3,True,d
pudding,,7,3,True,n
pudding,,7,3,True,g
dress,clothing,10,0,False,a
dress,clothing,10,0,False,e
dress,clothing,10,0,False,i
dress,clothing,10,0,False,o
dress,clothing,10,0,False,u
dress,clothing,10,0,False,w
baklava,,7,3,True,a
baklava,,7,3,True,e
baklava,,7,3,True,i
baklava,,7,3,True,t
baklava,,7,3,True,s
baklava,,7,3,True,r
baklava,,7,3,True,k
baklava,,7,3,True,m
baklava,,7,3,True,n
baklava,,7,3,True,b
baklava,,7,3,True,l
baklava,,7,3,True,v
yoga,,5,5,True,a
yoga,,5,5,True,e
yoga,,5,5,True,i
yoga,,5,5,True,o
yoga,,5,5,True,u
yoga,,5,5,True,y
yoga,,5,5,True,w
yoga,,5,5,True,r
yoga,,5,5,True,g
dress,,10,0,False,t
dress,,10,0,False,s
dress,,10,0,False,g
dress,,10,0,False,a
dress,,10,0,False,r
dress,,10,0,False,p
dress,,10,0,False,b
dress,,10,0,False,c
dress,,10,0,False,l
dress,,10,0,False,o
dress,,10,0,False,u
dress,,10,0,False,i
suv,,10,0,False,t
suv,,10,0,False,r
suv,,10,0,False,s
suv,,10,0,False,a
suv,,10,0,False,p
suv,,10,0,False,i
suv,,10,0,False,e
suv,,10,0,False,o
sneakers,,10,0,False,w
sneakers,,10,0,False,p
sneakers,,10,0,False,u
sneakers,,10,0,False,m
sneakers,,10,0,False,t
sneakers,,10,0,False,s
sneakers,,10,0,False,i
sneakers,,10,0,False,o
sneakers,,10,0,False,a
sneakers,,10,0,False,r
sneakers,,10,0,False,v
sneakers,,10,0,False,e
sneakers,,10,0,False,l
sneakers,,10,0,False,h
strusel,,9,1,True,a
strusel,,9,1,True,e
strusel,,9,1,True,i
strusel,,9,1,True,o
strusel,,9,1,True,u
strusel,,9,1,True,y
strusel,,9,1,True,t
strusel,,9,1,True,s
strusel,,9,1,True,r
strusel,,9,1,True,n
strusel,,9,1,True,p
strusel,,9,1,True,l
motorcycle,,4,6,True,p
motorcycle,,4,6,True,o
motorcycle,,4,6,True,i
motorcycle,,4,6,True,u
motorcycle,,4,6,True,y
motorcycle,,4,6,True,t
motorcycle,,4,6,True,h
motorcycle,,4,6,True,m
motorcycle,,4,6,True,r
motorcycle,,4,6,True,c
motorcycle,,4,6,True,l
motorcycle,,4,6,True,e
mousse,,6,4,True,b
mousse,,6,4,True,m
mousse,,6,4,True,n
mousse,,6,4,True,o
mousse,,6,4,True,r
mousse,,6,4,True,w
mousse,,6,4,True,d
mousse,,6,4,True,c
mousse,,6,4,True,u
mousse,,6,4,True,s
mousse,,6,4,True,e
café,,10,0,False,t
café,,10,0,False,s
café,,10,0,False,e
café,,10,0,False,a
café,,10,0,False,i
café,,10,0,False,u
café,,10,0,False,o
café,,10,0,False,y
café,,10,0,False,b
café,,10,0,False,m
café,,10,0,False,n
custard,,10,0,False,q
custard,,10,0,False,w
custard,,10,0,False,e
custard,,10,0,False,r
custard,,10,0,False,t
custard,,10,0,False,y
custard,,10,0,False,u
custard,,10,0,False,i
custard,,10,0,False,o
custard,,10,0,False,p
custard,,10,0,False,a
custard,,10,0,False,s
custard,,10,0,False,d
custard,,10,0,False,f
custard,,10,0,False,g
custard,,10,0,False,h
slacks,,9,1,True,e
slacks,,9,1,True,t
slacks,,9,1,True,s
slacks,,9,1,True,a
slacks,,9,1,True,r
slacks,,9,1,True,p
slacks,,9,1,True,h
slacks,,9,1,True,n
slacks,,9,1,True,i
slacks,,9,1,True,o
slacks,,9,1,True,u
slacks,,9,1,True,c
slacks,,9,1,True,l
slacks,,9,1,True,k
convertible,,10,0,False,e
convertible,,10,0,False,t
convertible,,10,0,False,r
convertible,,10,0,False,s
convertible,,10,0,False,a
convertible,,10,0,False,o
convertible,,10,0,False,u
convertible,,10,0,False,i
convertible,,10,0,False,m
convertible,,10,0,False,n
convertible,,10,0,False,l
convertible,,10,0,False,j
convertible,,10,0,False,w
convertible,,10,0,False,d
convertible,,10,0,False,p
convertible,,10,0,False,h
convertible,,10,0,False,g
elephant,,0,10,True,t
elephant,,0,10,True,e
elephant,,0,10,True,a
elephant,,0,10,True,n
elephant,,0,10,True,l
elephant,,0,10,True,p
elephant,,0,10,True,h
